-0.87496,-0.021922,1.0895,0,0,0,0.0037734,0,0.40286,-0.60929,0,0.83618,-1.3279,-0.074904,0,0.37297,-0.60362,0,0.83052,-1.298
-0.87493,-0.021581,1.0896,0,0,0,0.0033528,0,0.40294,-0.60951,0,0.83641,-1.328,-0.075319,0,0.37248,-0.60279,0,0.82969,-1.2975
-0.8749,-0.021196,1.0897,0,0,0,0.0028777,0,0.40301,-0.60975,0,0.83665,-1.328,-0.075774,0,0.37193,-0.60188,0,0.82878,-1.297
-0.87485,-0.020766,1.0898,0,0,0,0.0023461,0,0.40308,-0.61001,0,0.8369,-1.3281,-0.076271,0,0.37135,-0.60091,0,0.8278,-1.2964
-0.87479,-0.020288,1.0899,0,0,0,0.0017572,0,0.40314,-0.61028,0,0.83718,-1.3282,-0.076811,0,0.37072,-0.59989,0,0.82678,-1.2957
-0.8747,-0.019761,1.09,0,0,0,0.0011117,0,0.4032,-0.6106,0,0.83749,-1.3282,-0.077395,0,0.37007,-0.59886,0,0.82575,-1.2951
-0.87459,-0.019185,1.0901,0,0,0,0.00041156,0,0.40326,-0.61098,0,0.83788,-1.3283,-0.078022,0,0.36942,-0.59786,0,0.82476,-1.2944
-0.87444,-0.018561,1.0902,0,0,0,-0.00033997,0,0.40333,-0.61145,0,0.83835,-1.3284,-0.078693,0,0.36877,-0.59695,0,0.82384,-1.2938
-0.87425,-0.017889,1.0903,0,0,0,-0.001139,0,0.40342,-0.61204,0,0.83893,-1.3284,-0.079407,0,0.36815,-0.59615,0,0.82305,-1.2932
-0.874,-0.017171,1.0904,0,0,0,-0.0019813,0,0.40352,-0.61275,0,0.83964,-1.3285,-0.080165,0,0.36757,-0.59554,0,0.82243,-1.2926
-0.8737,-0.016408,1.0904,0,0,0,-0.0028626,0,0.40363,-0.61359,0,0.84048,-1.3287,-0.080966,0,0.36704,-0.59512,0,0.82202,-1.2921
-0.87334,-0.015603,1.0905,0,0,0,-0.0037792,0,0.40374,-0.61456,0,0.84145,-1.3288,-0.081811,0,0.36656,-0.59494,0,0.82183,-1.2916
